params,mean_test_score,std_test_score,rank_test_score,model
"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 127, 'model__max_iter': 800, 'model__max_depth': 2, 'model__learning_rate': np.float64(0.2), 'model__l2_regularization': 0.5}",0.8898167723749119,0.05215042229822875,17,HistGB
"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 15, 'model__max_iter': 400, 'model__max_depth': 3, 'model__learning_rate': np.float64(0.06000000000000001), 'model__l2_regularization': 0.0}",0.8891875566294172,0.051622408141712144,18,HistGB
"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 63, 'model__max_iter': 400, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.10000000000000002), 'model__l2_regularization': 0.1}",0.8891271519178495,0.04817243504202742,19,HistGB
"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 127, 'model__max_iter': 400, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.16), 'model__l2_regularization': 0.1}",0.8891120507399577,0.05281463003231065,20,HistGB
"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 31, 'model__max_iter': 200, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.12000000000000002), 'model__l2_regularization': 0.0}",0.8889761401389308,0.0365466164198639,21,HistGB
"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 63, 'model__max_iter': 200, 'model__max_depth': None, 'model__learning_rate': np.float64(0.10000000000000002), 'model__l2_regularization': 0.1}",0.8879593274942111,0.04513020300135241,22,HistGB
"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 31, 'model__max_iter': 400, 'model__max_depth': 4, 'model__learning_rate': np.float64(0.16), 'model__l2_regularization': 1.0}",0.8879492600422833,0.05145848576784006,23,HistGB
"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 31, 'model__max_iter': 400, 'model__max_depth': 3, 'model__learning_rate': np.float64(0.2), 'model__l2_regularization': 0.0}",0.8878083157152925,0.051515798310938964,24,HistGB
"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 63, 'model__max_iter': 200, 'model__max_depth': 2, 'model__learning_rate': np.float64(0.02), 'model__l2_regularization': 0.5}",0.886887143863888,0.03744289408968143,25,HistGB
"{'model__subsample': 0.8, 'model__reg_lambda': 0.5, 'model__n_estimators': 1200, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.01), 'model__colsample_bytree': 0.6}",0.9103745092117187,0.04710663388452092,1,XGBoost
"{'model__subsample': 1.0, 'model__reg_lambda': 0.5, 'model__n_estimators': 300, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__learning_rate': np.float64(0.03111111111111111), 'model__colsample_bytree': 0.6}",0.9057938185845161,0.047144427324889986,2,XGBoost
"{'model__subsample': 0.6, 'model__reg_lambda': 0.5, 'model__n_estimators': 900, 'model__min_child_weight': 1, 'model__max_depth': 6, 'model__learning_rate': np.float64(0.03111111111111111), 'model__colsample_bytree': 0.6}",0.9030152018524111,0.04950983501274607,3,XGBoost
"{'model__subsample': 1.0, 'model__reg_lambda': 0.5, 'model__n_estimators': 1200, 'model__min_child_weight': 1, 'model__max_depth': 6, 'model__learning_rate': np.float64(0.052222222222222225), 'model__colsample_bytree': 0.6}",0.9018775797845564,0.04979113186030802,4,XGBoost
"{'model__subsample': 0.8, 'model__reg_lambda': 0.0, 'model__n_estimators': 300, 'model__min_child_weight': 3, 'model__max_depth': 6, 'model__learning_rate': np.float64(0.01), 'model__colsample_bytree': 0.6}",0.9017416691835296,0.043585285903229166,5,XGBoost
"{'model__subsample': 0.8, 'model__reg_lambda': 0.0, 'model__n_estimators': 900, 'model__min_child_weight': 1, 'model__max_depth': 6, 'model__learning_rate': np.float64(0.07333333333333333), 'model__colsample_bytree': 0.6}",0.9015151515151516,0.05558890152065944,6,XGBoost
"{'model__subsample': 1.0, 'model__reg_lambda': 0.5, 'model__n_estimators': 600, 'model__min_child_weight': 1, 'model__max_depth': 4, 'model__learning_rate': np.float64(0.03111111111111111), 'model__colsample_bytree': 1.0}",0.9007349239907378,0.04225804102486399,7,XGBoost
"{'model__subsample': 1.0, 'model__reg_lambda': 0.5, 'model__n_estimators': 1200, 'model__min_child_weight': 1, 'model__max_depth': 6, 'model__learning_rate': np.float64(0.03111111111111111), 'model__colsample_bytree': 0.8}",0.90072485653881,0.05203284784883386,8,XGBoost
"{'model__subsample': 1.0, 'model__reg_lambda': 0.0, 'model__n_estimators': 600, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.07333333333333333), 'model__colsample_bytree': 0.8}",0.90072485653881,0.05028119700953257,8,XGBoost
"{'model__subsample': 0.6, 'model__reg_lambda': 0.5, 'model__n_estimators': 900, 'model__min_child_weight': 1, 'model__max_depth': 8, 'model__learning_rate': np.float64(0.11555555555555555), 'model__colsample_bytree': 0.6}",0.9006896204570622,0.059350964345122534,10,XGBoost
"{'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__n_estimators': 300, 'model__min_child_weight': 1, 'model__max_depth': 8, 'model__learning_rate': np.float64(0.09444444444444444), 'model__colsample_bytree': 1.0}",0.8990486257928119,0.05013852847449667,11,XGBoost
"{'model__subsample': 0.6, 'model__reg_lambda': 5.0, 'model__n_estimators': 900, 'model__min_child_weight': 3, 'model__max_depth': 2, 'model__learning_rate': np.float64(0.01), 'model__colsample_bytree': 0.8}",0.8985351857444881,0.045598516140760305,12,XGBoost
"{'model__subsample': 0.8, 'model__reg_lambda': 2.0, 'model__n_estimators': 600, 'model__min_child_weight': 5, 'model__max_depth': 2, 'model__learning_rate': np.float64(0.03111111111111111), 'model__colsample_bytree': 0.6}",0.8981123527635155,0.05106654927733969,13,XGBoost
"{'model__subsample': 0.8, 'model__reg_lambda': 2.0, 'model__n_estimators': 600, 'model__min_child_weight': 1, 'model__max_depth': 4, 'model__learning_rate': np.float64(0.09444444444444444), 'model__colsample_bytree': 0.6}",0.8980368468740562,0.0562782773250632,14,XGBoost
"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__n_estimators': 300, 'model__min_child_weight': 3, 'model__max_depth': 8, 'model__learning_rate': np.float64(0.01), 'model__colsample_bytree': 0.6}",0.8961391321856438,0.04554057698676704,15,XGBoost
"{'model__subsample': 1.0, 'model__reg_lambda': 0.5, 'model__n_estimators': 1200, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.1788888888888889), 'model__colsample_bytree': 1.0}",0.896129064733716,0.06552832847410585,16,XGBoost
"{'model__subsample': 1.0, 'model__reg_lambda': 0.0, 'model__n_estimators': 1200, 'model__min_child_weight': 3, 'model__max_depth': 8, 'model__learning_rate': np.float64(0.03111111111111111), 'model__colsample_bytree': 0.6}",0.8959579180509412,0.05134323594965404,17,XGBoost
"{'model__subsample': 0.6, 'model__reg_lambda': 0.5, 'model__n_estimators': 1200, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__learning_rate': np.float64(0.052222222222222225), 'model__colsample_bytree': 0.8}",0.8958824121614818,0.047861015881284046,18,XGBoost
"{'model__subsample': 0.6, 'model__reg_lambda': 1.0, 'model__n_estimators': 600, 'model__min_child_weight': 5, 'model__max_depth': 2, 'model__learning_rate': np.float64(0.01), 'model__colsample_bytree': 0.8}",0.8955652874257526,0.04411629804081761,19,XGBoost
"{'model__subsample': 0.8, 'model__reg_lambda': 0.5, 'model__n_estimators': 300, 'model__min_child_weight': 1, 'model__max_depth': 8, 'model__learning_rate': np.float64(0.1577777777777778), 'model__colsample_bytree': 0.6}",0.8952229940602032,0.05989914354955084,20,XGBoost
"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__n_estimators': 300, 'model__min_child_weight': 3, 'model__max_depth': 3, 'model__learning_rate': np.float64(0.1577777777777778), 'model__colsample_bytree': 1.0}",0.895132386992852,0.06460315279509114,21,XGBoost
"{'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__n_estimators': 600, 'model__min_child_weight': 3, 'model__max_depth': 6, 'model__learning_rate': np.float64(0.07333333333333333), 'model__colsample_bytree': 0.8}",0.8949612403100776,0.050814653566239994,22,XGBoost
"{'model__subsample': 1.0, 'model__reg_lambda': 0.0, 'model__n_estimators': 300, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': np.float64(0.11555555555555555), 'model__colsample_bytree': 0.8}",0.8941759790597,0.052503918105694096,23,XGBoost
"{'model__subsample': 1.0, 'model__reg_lambda': 0.5, 'model__n_estimators': 600, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.01), 'model__colsample_bytree': 0.6}",0.8941407429779522,0.04663288669014143,24,XGBoost
"{'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__n_estimators': 900, 'model__min_child_weight': 3, 'model__max_depth': 6, 'model__learning_rate': np.float64(0.052222222222222225), 'model__colsample_bytree': 0.6}",0.8935215946843854,0.05486624972791364,25,XGBoost
